	0
0	0.0
1	1.0
2	2.0
3	3.0
4	4.0
5	5.0
6	6.0
7	4.0
8	0.0
9	7.0
10	3.0
11	8.0
12	4.0
13	9.0
14	10.0
15	2.0
16	4.0
17	1.0
18	11.0
19	12.0
20	13.0
21	14.0
22	2.0
23	4.0
24	15.0
25	3.0
26	16.0
27	0.0
28	2.0
29	0.0
30	6.0
31	8.0
32	12.0
33	11.0
34	2.0
35	4.0
36	3.0
37	14.0
38	17.0
39	2.0
40	18.0
41	2.0
42	19.0
43	2.0
44	2.0
45	4.0
46	20.0
47	8.0
48	17.0
49	8.0
50	8.0
51	21.0
52	2.0
53	3.0
54	22.0
55	0.0
56	2.0
57	3.0
58	2.0
59	23.0
60	24.0
61	25.0
62	4.0
63	8.0
64	0.0
65	9.0
66	8.0
67	4.0
68	0.0
69	18.0
70	26.0
71	2.0
72	0.0
73	2.0
74	4.0
75	0.0
76	24.0
77	3.0
78	27.0
79	8.0
80	2.0
81	8.0
82	0.0
83	2.0
84	4.0
85	9.0
86	9.0
87	8.0
88	0.0
89	4.0
90	27.0
91	2.0
92	1.0
93	15.0
94	8.0
95	17.0
96	4.0
97	28.0
98	13.0
99	0.0
